Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
327,256,0.26562,0.06647,0.07031,0.07031,0.97196,0.97196
328,256,1.45312,0.36117,0.37500,0.37500,0.82241,0.82241
329,256,0.61328,0.15392,0.18359,0.18359,0.92897,0.92897
330,256,0.39453,0.09941,0.10938,0.10938,0.95508,0.95508
331,256,1.62500,0.41147,0.41016,0.41016,0.79763,0.79763
332,256,0.52734,0.13353,0.14844,0.14844,0.93540,0.93540
333,256,0.51562,0.12916,0.14844,0.14844,0.94848,0.94848
334,256,0.82031,0.20629,0.22266,0.22266,0.90654,0.90654
335,256,0.30859,0.07722,0.08203,0.08203,0.96918,0.96918
336,256,1.54688,0.38447,0.40234,0.40234,0.82492,0.82492
337,256,0.59766,0.15000,0.17969,0.17969,0.93447,0.93447
338,256,0.37500,0.09449,0.10938,0.10938,0.96116,0.96116
339,256,1.52344,0.38576,0.37891,0.37891,0.81973,0.81973
340,256,0.34766,0.08803,0.09766,0.09766,0.96023,0.96023
341,256,0.68750,0.17221,0.19922,0.19922,0.91578,0.91578
342,256,0.70312,0.17682,0.17969,0.17969,0.91266,0.91266
343,256,0.35547,0.08895,0.09375,0.09375,0.96616,0.96616
344,256,1.48828,0.36990,0.38672,0.38672,0.83521,0.83521
345,256,0.34766,0.08725,0.09766,0.09766,0.95470,0.95470
346,256,0.30469,0.07677,0.08984,0.08984,0.95914,0.95914
347,256,1.71094,0.43323,0.44531,0.44531,0.80078,0.80078
348,256,0.23047,0.05836,0.07031,0.07031,0.97555,0.97555
349,256,0.61719,0.15460,0.17969,0.17969,0.93489,0.93489
350,256,0.68750,0.17289,0.18750,0.18750,0.92391,0.92391
351,256,0.25000,0.06256,0.06250,0.06250,0.97035,0.97035
352,256,1.34766,0.33495,0.34766,0.34766,0.84708,0.84708
353,256,0.30078,0.07549,0.09375,0.09375,0.96636,0.96636
354,256,0.25781,0.06496,0.07422,0.07422,0.97730,0.97730
355,256,1.37500,0.34817,0.35547,0.35547,0.83332,0.83332
356,256,0.25000,0.06330,0.07812,0.07812,0.96892,0.96892
357,256,0.56250,0.14090,0.16797,0.16797,0.93533,0.93533
358,256,0.60547,0.15226,0.16016,0.16016,0.92842,0.92842
359,256,0.23828,0.05963,0.06250,0.06250,0.97387,0.97387
360,256,1.40625,0.34951,0.37891,0.37891,0.83774,0.83774
361,256,0.51562,0.12941,0.16797,0.16797,0.94356,0.94356
362,256,0.26562,0.06693,0.07812,0.07812,0.96708,0.96708
363,256,1.48828,0.37685,0.38672,0.38672,0.82030,0.82030
364,256,0.27734,0.07023,0.08203,0.08203,0.96763,0.96763
365,256,0.60547,0.15166,0.17578,0.17578,0.93209,0.93209
366,256,0.67578,0.16994,0.17969,0.17969,0.91464,0.91464
367,256,0.30078,0.07527,0.07812,0.07812,0.96246,0.96246
368,256,1.47656,0.36699,0.38281,0.38281,0.83209,0.83209
369,256,0.35547,0.08922,0.12500,0.12500,0.96209,0.96209
370,256,0.33984,0.08563,0.09766,0.09766,0.95370,0.95370
371,256,1.45703,0.36894,0.38281,0.38281,0.82817,0.82817
372,256,0.33984,0.08605,0.09375,0.09375,0.96783,0.96783
373,256,0.51953,0.13014,0.15625,0.15625,0.93243,0.93243
374,256,0.99219,0.24951,0.26562,0.26562,0.88877,0.88877
375,256,0.39844,0.09971,0.10547,0.10547,0.96055,0.96055
376,256,1.29297,0.32136,0.33984,0.33984,0.85446,0.85446
377,256,0.69141,0.17353,0.20312,0.20312,0.92990,0.92990
378,256,0.34766,0.08760,0.09766,0.09766,0.95694,0.95694
379,256,1.47266,0.37290,0.37891,0.37891,0.82311,0.82311
380,256,0.50000,0.12661,0.14453,0.14453,0.93705,0.93705
381,256,0.48438,0.12133,0.13672,0.13672,0.95433,0.95433
